EXPEDIENTE,ANO_EXPE,AUTORI_D,AUTORI_H,METROS,MESAS,SILLAS,TOLDOS,SOMBRILLAS,ESTUFAS,MENU,JARDINERAS,PEATONES,DIM_MESAS,NOMBRE,DESCRIPCION,CCODVIA,NUMERO,CAT_IAE,PRECIO,LATITUD,LONGITUD
2,2002,01/01/2019,30/04/2019,15.00,5,15,N,2,2,0,0,,,CAFE HAVANA BARRIO,PUBS,3090,5,4,149.40,38.34566,-0.48305
2,2002,01/05/2019,30/08/2019,15.00,5,15,N,2,2,0,0,,,CAFE HAVANA BARRIO,PUBS,3090,5,4,149.40,38.34566,-0.48305
2,2002,01/09/2019,31/12/2019,15.00,5,15,N,2,2,0,0,,,CAFE HAVANA BARRIO,PUBS,3090,5,4,149.40,38.34566,-0.48305
11,2002,01/01/2019,31/12/2019,43.50,11,44,N,5,2,0,0,,,BODEGA LA TABERNA DE LUCEROS,"BARES, CAFETERIAS, DISCOTECAS",3740,4,1,2171.52,38.34570,-0.49008
12,2002,01/01/2019,31/12/2019,14.00,6,14,N,2,,0,0,,,RESTAURANTE RIO,RESTAURANTES,4815,24,2,556.08,38.34163,-0.48985
15,2002,01/01/2019,31/12/2019,22.06,7,22,N,1,0,0,0,,,BAR EMILIO CAROLINAS,"BARES, CAFETERIAS, DISCOTECAS",2915,81,4,659.15,,
22,2002,01/01/2019,30/06/2019,10.20,5,10,N,2,0,1,0,,,CAFE GADEA,"BARES, CAFETERIAS, DISCOTECAS",2370,16,2,202.57,38.34246,-0.48784
22,2002,01/07/2019,31/12/2019,10.20,5,10,N,2,0,1,0,,,CAFE GADEA,"BARES, CAFETERIAS, DISCOTECAS",2370,16,2,202.57,38.34246,-0.48784
23,2002,01/01/2019,31/12/2019,13.80,5,15,N,2,0,0,0,,,HELADERIA GRAN VIA,HELADERIAS,3182,2,4,412.34,38.36191,-0.49441
24,2002,01/01/2019,30/06/2019,176.00,50,172,N,0,0,0,0,,,QUIOSCO MIRAMAR,QUIOSCOS Y OCUPACION DE VIA PU,3140,0,4,2629.44,,
24,2002,01/07/2019,31/12/2019,176.00,50,172,N,0,0,0,0,,,QUIOSCO MIRAMAR,QUIOSCOS Y OCUPACION DE VIA PU,3140,0,4,2629.44,,
33,2002,01/07/2019,31/12/2019,10.80,5,14,N,2,2,0,0,,,CAFETERIA PRINCIPAL,"BARES, CAFETERIAS, DISCOTECAS",1835,27,4,161.35,,
35,2002,01/01/2019,30/06/2019,15.40,5,18,N,2,,0,0,,,HELADERIA ESPI,HELADERIAS,520,4,2,305.84,38.34818,-0.48524
37,2002,01/01/2019,31/12/2019,31.00,21,42,N,0,2,0,0,,,RISTORANTE PIZZERIA SPIGA,RESTAURANTES,3985,11,4,926.28,38.34487,-0.48266
42,2002,01/01/2019,31/12/2019,24.00,6,24,N,0,0,0,0,,,BAR JUVENTUD,"BARES, CAFETERIAS, DISCOTECAS",4597,42,4,717.12,,
46,2002,01/04/2019,31/10/2019,37.71,11,41,N,0,0,0,0,,,PIZZERIA BELLA NAPOLI,PIZZERIAS,3145,9,4,657.29,38.35886,-0.47913
47,2002,01/01/2019,31/12/2019,120.00,25,100,S,,,1,0,,,RESTAURANTE CASA RAMOS,RESTAURANTES,3176,1,4,4363.20,,
48,2002,01/01/2019,30/06/2019,98.96,25,100,S,,,0,0,,,RESTAURANTE CASA GLORIA,RESTAURANTES,1391,19,5,1134.08,38.16573,-0.48096
48,2002,01/07/2019,31/12/2019,98.96,25,100,S,0,0,0,0,,,RESTAURANTE CASA GLORIA,RESTAURANTES,1391,19,5,1134.08,38.16573,-0.48096
55,2002,04/01/2019,30/04/2019,40.46,12,48,N,,,0,0,,"Redondas de 0,60 mts",QUIOSCO FERMIN,"BARES, CAFETERIAS, DISCOTECAS",4195,0,4,402.98,,
55,2002,01/05/2019,31/05/2019,84.21,21,84,N,2,,0,0,,"Redondas de 0,60 mts",QUIOSCO FERMIN,"BARES, CAFETERIAS, DISCOTECAS",4195,0,4,209.68,,
55,2002,01/06/2019,31/08/2019,109.93,27,108,N,4,,0,0,,,QUIOSCO FERMIN,"BARES, CAFETERIAS, DISCOTECAS",4195,0,4,821.18,,
55,2002,01/09/2019,30/09/2019,84.21,21,84,N,2,,0,0,,"Redondas de 0,60 mts",QUIOSCO FERMIN,"BARES, CAFETERIAS, DISCOTECAS",4195,0,4,209.68,,
55,2002,01/10/2019,31/10/2019,53.92,15,60,N,,,0,0,,"Redondas de 0,60 mts",QUIOSCO FERMIN,"BARES, CAFETERIAS, DISCOTECAS",4195,0,4,134.26,,
55,2002,01/11/2019,31/12/2019,40.46,12,48,N,,,0,0,,"Redondas de 0,60 mts",QUIOSCO FERMIN,"BARES, CAFETERIAS, DISCOTECAS",4195,0,4,201.49,,
66,2002,01/03/2019,30/06/2019,55.00,8,32,N,6,0,0,0,,,RESTAURANTE AMPARIN,RESTAURANTES,5683,0,4,547.80,,
67,2002,01/01/2019,30/04/2019,16.00,4,16,N,3,0,0,0,,,CAFETERIA COSTABLANCA,"BARES, CAFETERIAS, DISCOTECAS",3999,14,4,159.36,38.36303,-0.47315
67,2002,01/05/2019,31/08/2019,16.00,4,16,N,3,0,0,0,,,CAFETERIA COSTABLANCA,"BARES, CAFETERIAS, DISCOTECAS",3999,14,4,159.36,38.36303,-0.47315
67,2002,01/09/2019,31/12/2019,16.00,4,16,N,3,0,0,0,,,CAFETERIA COSTABLANCA,"BARES, CAFETERIAS, DISCOTECAS",3999,14,4,159.36,38.36303,-0.47315
70,2002,01/01/2019,31/12/2019,50.00,12,48,N,3,0,0,0,,,BAR EL MIRADOR,"BARES, CAFETERIAS, DISCOTECAS",6150,37,4,1494.00,38.34839,-0.47512
71,2002,01/01/2019,31/12/2019,32.00,8,32,N,2,,0,0,,,CAFETERIA HELADERIA LOLES,"BARES, CAFETERIAS, DISCOTECAS",2160,37,4,956.16,38.34651,-0.50972
73,2002,01/01/2019,30/06/2019,11.55,6,14,N,2,,0,0,,,RESTAURANTE PAN Y PASTA,RESTAURANTES,2750,6,4,172.56,,
73,2002,01/07/2019,31/12/2019,11.55,6,14,N,2,,0,0,,,RESTAURANTE PAN Y PASTA,RESTAURANTES,2750,6,4,172.56,,
75,2002,01/05/2019,30/09/2019,50.00,12,48,N,0,0,0,0,,,CERVECERIA MEDITERRANEO,"BARES, CAFETERIAS, DISCOTECAS",4483,2,4,622.50,,
75,2002,01/10/2019,31/10/2019,12.00,3,12,N,0,0,0,0,,,CERVECERIA MEDITERRANEO,"BARES, CAFETERIAS, DISCOTECAS",4483,2,4,29.88,,
78,2002,01/01/2019,30/04/2019,12.00,3,12,N,2,0,0,0,,,HELADERIA FOGUERER,HELADERIAS,2785,8,4,119.52,,
78,2002,01/05/2019,31/05/2019,39.25,9,36,N,2,0,0,0,,,HELADERIA FOGUERER,HELADERIAS,2785,8,4,97.73,,
78,2002,01/06/2019,30/09/2019,56.10,14,56,N,2,0,0,0,,,HELADERIA FOGUERER,HELADERIAS,2785,8,4,558.76,,
78,2002,01/10/2019,30/10/2019,39.25,9,36,N,2,0,0,0,,,HELADERIA FOGUERER,HELADERIAS,2785,8,4,97.73,,
78,2002,01/11/2019,31/12/2019,12.00,3,12,N,2,0,0,0,,,HELADERIA FOGUERER,HELADERIAS,2785,8,4,59.76,,
79,2002,01/01/2019,31/08/2019,15.00,4,16,N,2,,0,0,,,BAR NUEVO ANTEQUERANO,"BARES, CAFETERIAS, DISCOTECAS",3182,2,4,298.80,38.36191,-0.49441
79,2002,01/09/2019,31/12/2019,15.00,4,16,N,2,,0,0,,,BAR NUEVO ANTEQUERANO,"BARES, CAFETERIAS, DISCOTECAS",3182,2,4,149.40,38.36191,-0.49441
81,2002,01/01/2019,30/04/2019,13.00,3,12,N,2,0,0,0,,,HELADERIA SANTA GEMA,"BARES, CAFETERIAS, DISCOTECAS",5050,9,4,129.48,,
81,2002,01/05/2019,31/08/2019,13.00,3,12,N,2,0,0,0,,,HELADERIA SANTA GEMA,"BARES, CAFETERIAS, DISCOTECAS",5050,9,4,129.48,,
81,2002,01/09/2019,31/12/2019,13.00,3,12,N,2,0,0,0,,,HELADERIA SANTA GEMA,"BARES, CAFETERIAS, DISCOTECAS",5050,9,4,129.48,,
83,2002,01/07/2019,31/12/2019,60.00,33,66,S,0,3,0,0,,,PIZZERIA TARANTINO,RESTAURANTES,2700,7,1,1818.00,,
90,2002,01/01/2019,31/05/2019,40.00,11,44,N,3,0,0,0,,,HELADERIA LAS JIJONENCAS,HELADERIAS,5222,0,4,498.00,,
90,2002,01/06/2019,30/09/2019,68.00,17,68,N,3,0,0,0,,,HELADERIA LAS JIJONENCAS,HELADERIAS,5222,0,4,677.28,,
90,2002,01/10/2019,31/12/2019,40.00,11,44,N,3,,0,0,,,HELADERIA LAS JIJONENCAS,HELADERIAS,5222,0,4,298.80,,
93,2002,01/03/2019,30/06/2019,65.00,16,64,N,0,0,0,0,,,HOTEL BOUTIQUE ISLA DE TABARCA,HOTELES,1040,24,4,647.40,,
93,2002,01/07/2019,31/10/2019,65.00,16,64,N,0,0,0,0,,,HOTEL BOUTIQUE ISLA DE TABARCA,HOTELES,1040,24,4,647.40,,
100,2002,01/01/2019,31/12/2019,14.20,6,15,N,,2,0,0,,,RESTAURANTE PECCATI DI GOLA,RESTAURANTES,5255,10,3,494.16,38.34410,-0.48431
102,2002,01/01/2019,31/12/2019,17.98,11,22,N,2,2,0,0,,,AMAPOLA CAFE,"BARES, CAFETERIAS, DISCOTECAS",5390,1,4,537.24,38.34592,-0.48296
103,2002,01/01/2019,30/06/2019,25.30,8,28,N,2,2,0,0,,,RESTAURANTE CAPRI,RESTAURANTES,5290,6,4,377.98,38.34552,-0.48583
103,2002,01/07/2019,31/12/2019,25.30,8,28,N,2,2,0,0,,,RESTAURANTE CAPRI,RESTAURANTES,5290,6,4,377.98,38.34552,-0.48583
104,2002,01/01/2019,31/12/2019,12.29,8,16,N,1,1,0,0,,,TABERNA SAN PASCUAL,RESTAURANTES,5390,3,4,367.23,38.34593,-0.48292
106,2002,01/03/2019,31/10/2019,16.00,4,16,N,2,0,0,0,,,CAFETERIA HELADERIA VENETIA,HELADERIAS,3985,11,4,318.72,38.34487,-0.48266
107,2002,01/01/2019,31/12/2019,17.90,6,24,N,2,2,0,0,,"0,60 m. de diámetro",HELADERIA CAFETERIA LA IBENSE,HELADERIAS,3506,7,3,622.92,,
109,2002,01/01/2019,31/12/2019,12.00,3,10,N,2,0,0,0,,,BAR PELAYO,"BARES, CAFETERIAS, DISCOTECAS",4450,27,4,358.56,38.34162,-0.49901
111,2002,01/01/2019,31/03/2019,16.00,4,16,N,2,0,0,0,,,CERVECERIA PACO SAN BLAS,"BARES, CAFETERIAS, DISCOTECAS",5222,3,4,119.52,38.34860,-0.49758
111,2002,01/04/2019,31/10/2019,22.00,6,24,N,2,0,0,0,,,CERVECERIA PACO SAN BLAS,"BARES, CAFETERIAS, DISCOTECAS",5222,3,4,383.46,38.34860,-0.49758
111,2002,01/11/2019,31/12/2019,16.00,4,16,N,2,0,0,0,,,CERVECERIA PACO SAN BLAS,"BARES, CAFETERIAS, DISCOTECAS",5222,3,4,79.68,38.34860,-0.49758
114,2002,01/06/2019,30/09/2019,14.00,3,12,N,2,0,0,0,,,BAR JAMAICA NORTE,"BARES, CAFETERIAS, DISCOTECAS",2980,132,4,139.44,38.36550,-0.48299
116,2002,01/01/2019,30/06/2019,13.60,5,12,N,0,0,0,0,,,CAFE NO COFFE SHOP,RESTAURANTES,5435,55,2,270.10,38.35064,-0.48493
116,2002,01/07/2019,31/12/2019,13.60,5,12,N,0,0,0,0,,,CAFE NO COFFE SHOP,RESTAURANTES,5435,55,2,270.10,38.35064,-0.48493
120,2002,01/03/2019,31/10/2019,62.00,20,68,N,6,0,0,0,,,HELADERIA ARQUES,HELADERIAS,443,2,4,1235.04,,
126,2002,01/03/2019,30/04/2019,106.04,26,94,S,0,0,0,0,,,RESTAURANTE CASA TERE,RESTAURANTES,5683,0,4,642.60,,
126,2002,01/05/2019,30/06/2019,106.04,26,94,S,0,0,0,0,,,RESTAURANTE CASA TERE,RESTAURANTES,5683,0,4,642.60,,
126,2002,01/07/2019,30/11/2019,106.04,26,94,S,0,0,0,0,,,RESTAURANTE CASA TERE,RESTAURANTES,5683,0,4,1606.51,,
127,2002,01/01/2019,31/12/2019,91.30,32,80,S,0,6,2,0,,,RESTAURANTE MIAMI,RESTAURANTES,2700,11,1,5532.78,38.34336,-0.48345
128,2002,01/07/2019,31/12/2019,90.00,45,90,S,0,3,0,0,,,TABERNA JARRA DORADA,RESTAURANTES,2700,8,1,2727.00,38.34377,-0.48245
129,2002,01/07/2019,31/12/2019,8.00,4,8,N,1,,0,0,,,MINI BAR,"BARES, CAFETERIAS, DISCOTECAS",1375,41,3,139.20,38.34738,-0.49274
136,2002,01/01/2019,31/12/2019,16.00,4,16,N,2,0,0,0,,,HELADERIA LA IBENSE,HELADERIAS,371,35,4,478.08,38.33884,-0.50887
136,2002,01/05/2019,31/10/2019,13.75,8,32,N,2,0,0,0,,,HELADERIA LA IBENSE,HELADERIAS,371,35,4,205.43,38.33884,-0.50887
137,2002,01/01/2019,30/04/2019,35.60,14,28,N,1,1,0,0,,,CERVECERIA RINCON DE ANTONIO,"BARES, CAFETERIAS, DISCOTECAS",5405,13,4,354.58,38.34752,-0.48250
137,2002,01/05/2019,31/08/2019,35.60,14,28,N,1,1,0,0,,,CERVECERIA RINCON DE ANTONIO,"BARES, CAFETERIAS, DISCOTECAS",5405,13,4,354.58,38.34752,-0.48250
137,2002,01/09/2019,31/12/2019,35.60,14,28,N,1,1,0,0,,,CERVECERIA RINCON DE ANTONIO,"BARES, CAFETERIAS, DISCOTECAS",5405,13,4,354.58,38.34752,-0.48250
144,2002,01/01/2019,31/12/2019,91.20,29,71,S,0,6,2,0,,,RESTAURANTE PALMITAS,RESTAURANTES,2700,4,1,5526.72,,
150,2002,01/01/2019,31/12/2019,14.16,5,14,N,2,2,0,0,,,CAFE BOMBAY,"BARES, CAFETERIAS, DISCOTECAS",3090,3,4,423.10,,
154,2002,01/01/2019,30/06/2019,21.00,8,28,N,2,1,0,0,,,CHURRERIA SANTA FAZ,CHURRERIAS,3985,4,4,313.74,,
154,2002,01/07/2019,31/12/2019,21.00,8,28,N,2,1,0,0,,,CHURRERIA SANTA FAZ,CHURRERIAS,3985,4,4,313.74,,
157,2002,01/01/2019,31/08/2019,42.00,11,42,N,4,0,0,0,,,CAFETERIA SOTERO,"BARES, CAFETERIAS, DISCOTECAS",3888,3,4,836.64,38.34268,-0.50932
157,2002,01/09/2019,31/12/2019,42.00,11,42,N,4,0,0,0,,,CAFETERIA SOTERO,"BARES, CAFETERIAS, DISCOTECAS",3888,3,4,418.32,38.34268,-0.50932
158,2002,01/01/2019,30/06/2019,48.00,18,60,N,5,0,0,0,,,CAFETERIA HELADERIA DULCINA,"BARES, CAFETERIAS, DISCOTECAS",3275,11,4,717.12,38.34533,-0.48676
158,2002,01/07/2019,31/12/2019,48.00,18,60,N,5,0,0,0,,,CAFETERIA HELADERIA DULCINA,"BARES, CAFETERIAS, DISCOTECAS",3275,11,4,717.12,38.34533,-0.48676
159,2002,01/01/2019,30/06/2019,48.00,12,48,N,2,0,0,0,,,CAFETERIA HELADERIA AQUARIUM,"BARES, CAFETERIAS, DISCOTECAS",3275,14,4,717.12,,
159,2002,01/07/2019,31/12/2019,48.00,12,48,N,2,0,0,0,,,CAFETERIA HELADERIA AQUARIUM,"BARES, CAFETERIAS, DISCOTECAS",3275,14,4,717.12,,
162,2002,01/01/2019,30/06/2019,34.60,17,34,N,3,3,2,4,,,DOÑA MARIA,RESTAURANTES,2700,16,1,863.62,38.34303,-0.48428
164,2002,01/01/2019,31/03/2019,10.00,3,10,N,1,0,0,0,,,BAR THE LITTLE DUKE,"BARES, CAFETERIAS, DISCOTECAS",2370,9,2,99.30,38.34200,-0.48805
164,2002,01/04/2019,30/04/2019,32.00,9,32,N,2,0,0,0,,,BAR THE LITTLE DUKE,"BARES, CAFETERIAS, DISCOTECAS",2370,9,2,105.92,38.34200,-0.48805
164,2002,01/05/2019,31/08/2019,32.00,9,32,N,2,0,0,0,,,BAR THE LITTLE DUKE,"BARES, CAFETERIAS, DISCOTECAS",2370,9,2,423.68,38.34200,-0.48805
164,2002,01/09/2019,31/12/2019,32.00,9,32,N,2,0,0,0,,,BAR THE LITTLE DUKE,"BARES, CAFETERIAS, DISCOTECAS",2370,9,2,423.68,38.34200,-0.48805
169,2002,01/01/2019,31/12/2019,89.40,20,80,S,,4,2,0,,,RESTAURANTE SAVOY,RESTAURANTES,2700,27,1,5417.64,,
172,2002,01/01/2019,30/04/2019,22.00,6,24,N,1,1,0,0,,,CAFE CARVI,"BARES, CAFETERIAS, DISCOTECAS",730,25,4,219.12,,
172,2002,01/05/2019,31/08/2019,22.00,6,24,N,1,1,0,0,,,CAFE CARVI,"BARES, CAFETERIAS, DISCOTECAS",730,25,4,219.12,,
172,2002,01/09/2019,31/12/2019,22.00,6,24,N,2,0,0,0,,,CAFE CARVI,"BARES, CAFETERIAS, DISCOTECAS",730,25,4,219.12,,
173,2002,01/01/2019,31/05/2019,52.80,12,48,S,0,2,0,0,,,RESTAURANTE LA ALMADRABA,RESTAURANTES,6067,23,4,799.92,38.16661,-0.48073
174,2002,01/03/2019,30/06/2019,46.80,13,49,S,0,0,0,0,,,RESTAURANTE PIRATA  PATA DE  PALO,RESTAURANTES,5683,0,5,357.55,,
174,2002,01/07/2019,31/12/2019,46.80,13,49,S,0,0,1,0,,,RESTAURANTE PIRATA  PATA DE  PALO,RESTAURANTES,5683,0,4,850.82,,
176,2002,09/05/2019,31/10/2019,36.00,9,36,N,0,0,0,0,,,BAR BRILLANTE,"BARES, CAFETERIAS, DISCOTECAS",2172,30,5,272.16,,
176,2002,01/11/2019,31/12/2019,16.00,4,16,N,0,0,0,0,,,BAR BRILLANTE,"BARES, CAFETERIAS, DISCOTECAS",2172,30,5,40.32,,
179,2002,01/01/2019,30/06/2019,15.00,4,16,N,2,,1,0,,,BAR GORDILLO,"BARES, CAFETERIAS, DISCOTECAS",5795,25,4,224.10,,
179,2002,01/07/2019,31/12/2019,15.00,4,16,N,2,,1,0,,,BAR GORDILLO,"BARES, CAFETERIAS, DISCOTECAS",5795,25,4,224.10,,
182,2002,01/04/2019,31/10/2019,88.00,13,52,N,0,0,0,0,,"0,70 m. de lado",RESTAURANTE MAR AZUL,RESTAURANTES,5683,0,4,1533.84,,
183,2002,01/01/2019,30/04/2019,40.50,10,40,N,3,3,0,0,,,ARTESPIRITU COFFEE,PUBS,3090,26,4,403.38,38.34651,-0.48351
185,2002,01/01/2019,30/06/2019,14.48,5,15,N,2,0,0,0,,,CAFETERIA ORIENT EXPRESS,"BARES, CAFETERIAS, DISCOTECAS",2370,9,2,287.57,38.34200,-0.48805
185,2002,01/07/2019,31/12/2019,14.48,5,15,N,2,0,0,0,,,CAFETERIA ORIENT EXPRESS,"BARES, CAFETERIAS, DISCOTECAS",2370,9,2,287.57,38.34200,-0.48805
187,2002,01/01/2019,31/05/2019,18.50,5,20,N,2,0,0,0,,,CAFE EPOCA,"BARES, CAFETERIAS, DISCOTECAS",5300,6,4,230.33,38.34571,-0.48335
187,2002,01/07/2019,31/12/2019,18.50,5,20,N,2,0,0,0,,,CAFE EPOCA,"BARES, CAFETERIAS, DISCOTECAS",5300,6,4,276.39,38.34571,-0.48335
193,2002,01/01/2019,30/06/2019,13.44,4,12,N,2,2,0,0,,,BAR GRAVINA,"BARES, CAFETERIAS, DISCOTECAS",3190,4,4,200.79,38.34504,-0.48001
193,2002,01/07/2019,31/12/2019,13.44,4,12,N,2,2,0,0,,,BAR GRAVINA,"BARES, CAFETERIAS, DISCOTECAS",3190,4,4,200.79,38.34504,-0.48001
194,2002,01/01/2019,30/06/2019,13.76,4,12,N,1,0,0,0,,,CAFÉ BAR EL RACO DE DORI,HELADERIAS,3865,2,4,205.57,38.34281,-0.51180
194,2002,01/07/2019,31/12/2019,13.76,4,12,N,1,0,0,0,,,CAFÉ BAR EL RACO DE DORI,HELADERIAS,3865,2,4,205.57,38.34281,-0.51180
196,2002,01/01/2019,30/06/2019,83.23,15,60,S,0,0,0,0,,,RESTAURANTE LA CALETA,RESTAURANTES,5683,0,4,1513.12,,
196,2002,01/07/2019,31/12/2019,83.23,15,60,S,0,0,0,0,,,RESTAURANTE LA CALETA,RESTAURANTES,5683,0,4,1513.12,,
199,2002,01/01/2019,30/04/2019,53.11,16,64,N,1,0,0,0,,,CHOCOLATERIA VALOR,"BARES, CAFETERIAS, DISCOTECAS",2700,14,1,883.75,38.34319,-0.48389
199,2002,01/05/2019,31/08/2019,53.11,16,64,N,1,0,0,0,,,CHOCOLATERIA VALOR,"BARES, CAFETERIAS, DISCOTECAS",2700,14,1,883.75,38.34319,-0.48389
199,2002,01/09/2019,31/12/2019,53.11,16,64,N,1,0,0,0,,,CHOCOLATERIA VALOR,"BARES, CAFETERIAS, DISCOTECAS",2700,14,1,883.75,38.34319,-0.48389
205,2002,01/05/2019,30/09/2019,47.92,14,56,N,6,0,0,0,,,BAR CERVECERIA EL PESEBRE,"BARES, CAFETERIAS, DISCOTECAS",4378,10,4,596.60,,
205,2002,01/10/2019,31/12/2019,32.00,8,32,N,4,0,0,0,,,BAR CERVECERIA EL PESEBRE,"BARES, CAFETERIAS, DISCOTECAS",4378,10,4,239.04,,
