Lat,Lon,Title,NOMBRE,CASOS ACTIVOS
42.4661196,-2.4396676,Logroño,ZBS Logroño,1392
42.5768922,-2.8466768,Haro,ZBS Haro,333
42.416745,-2.7336874,Nájera,ZBS Nájera,203
42.4406711,-2.9536395,Santo Domingo de la Calzada,ZBS Santo Domingo de la Calzada,427
42.2560793,-2.6305716,Torrecilla en Cameros,ZBS Torrecilla de Cameros,8
42.4289697,-2.5616234,Navarrete,ZBS Navarrete,83
42.45782,-2.30105,Murillo del Río Leza,ZBS Murillo,28
42.3035212,-1.9648758,Calahorra,ZBS Calahorra,318
42.4060734,-2.4392907,Alberite,ZBS Alberite,275
42.2273401,-2.0995697,Arnedo,ZBS Arnedo,84
42.23199,-2.4737,San Román de Cameros,ZBS San Román,1
42.0058319,-1.9554794,Cervera del Río Alhama,ZBS Cervera,19
42.1785741,-1.7492454,Alfaro,ZBS Alfaro,108
