Nmero_punt_crtic;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Nom_Carrer;Nmero;Latitud;Longitud;Motiu;Nombre_visites_setembre_2017;Estat_setembre_2017;Nombre_visites_octubre_2017;Estat_octubre_2017;Nombre_visites_novembre_2017;Estat_novembre_2017;Nombre_visites_desembre_2017;Estat_desembre_2017;Nombre_visites_gener_2018;Estat_gener_2018
864;1;Ciutat Vella;1;el Raval;Carrer Arc de la Verge;1;41.383648;2.164903;Poca afluncia de gent;19;6.1;16;7.4;17;2.9;16;3.3;20;3.6
865;1;Ciutat Vella;1;el Raval;Carrer Sant Erasme;3;41.38129;2.164533;Mal s de contenidors i/o papereres;18;7.8;18;9.8;18;13.6;16;4.7;19;10.5
866;1;Ciutat Vella;1;el Raval;Carrer Lluna ;29;41.381584;2.165298;Efecte crida;18;6.9;18;7.2;18;5.5;16;6.4;18;5
867;1;Ciutat Vella;1;el Raval;Carrer Guifr ;16;41.381287;2.165995;Efecte crida;19;6.7;18;10;18;10.1;16;4.3;19;6.9
868;1;Ciutat Vella;1;el Raval;Plaa Caramelles ;1;41.38237;2.167744;Propietaris danimals incvics;19;6.2;19;3.1;18;3.8;16;5.5;19;3.9
869;1;Ciutat Vella;1;el Raval;Carrer del Carme ;50;41.381256;2.168395;Mal s de contenidors i/o papereres;19;8;19;8.3;18;11.4;16;7.7;19;8.2
870;1;Ciutat Vella;1;el Raval;Carrer Agust Duran SanPere;6;41.381325;2.168168;Problemtica social;19;2.6;19;4;18;5.3;16;3.8;19;3.5
871;1;Ciutat Vella;1;el Raval;Carrer Peu de la Creu ;11;41.381454;2.167407;Mal s de contenidors i/o papereres;19;15.7;19;11.2;18;12.7;16;14.2;19;7.2
872;1;Ciutat Vella;1;el Raval;Carrer Erasme Janer;4;41.379845;2.166108;Mal s de contenidors i/o papereres;20;7.2;18;9.6;18;12.2;16;14.8;19;10.6
873;1;Ciutat Vella;1;el Raval;Carrer Sant Antoni Abat;6;41.379417;2.165574;Mal s de contenidors i/o papereres;20;15;18;10;18;16.5;16;15.8;19;13.5
874;1;Ciutat Vella;1;el Raval;Carrer Sant Climent ;23;41.378506;2.16551;Efecte crida;23;5;18;8.3;18;4.9;16;7.5;20;11
875;1;Ciutat Vella;1;el Raval;Placeta Martina Castells ;1;41.379772;2.166827;Mala praxis comercial;20;15.8;18;7.4;18;10.8;11;4.3;18;4.2
876;1;Ciutat Vella;1;el Raval;Carrer Malnom ;1;41.380627;2.167949;Problemtica social;19;4;18;4.9;18;3.3;16;4.6;19;3.7
877;1;Ciutat Vella;1;el Raval;Carrer Picalquers ;1;41.380665;2.168612;Problemtica social;19;12.1;18;8;18;12.7;16;13.1;19;12.3
878;1;Ciutat Vella;1;el Raval;Jardins Rubi i Luch;1;41.38073;2.170163;Problemtica social;21;6.9;19;4.3;18;4.7;16;3.2;19;2.9
879;1;Ciutat Vella;1;el Raval;Carrer Egipcaques;3;41.38089;2.168989;Mal s de contenidors i/o papereres;19;7.6;19;9.3;18;10.4;16;7.3;20;6.9
880;1;Ciutat Vella;1;el Raval;Plaa Gardunya ;1;41.381252;2.17052;Fora afluncia de gent;19;7.1;19;5.8;17;5.3;16;4.1;19;5.4
881;1;Ciutat Vella;1;el Raval;Plaa Sant Agust;0;41.38073;2.171528;Mala praxis comercial;19;9.2;19;14.6;18;6.2;16;6.7;19;11.9
882;1;Ciutat Vella;1;el Raval;Carrer Robador;53;41.378761;2.171453;Efecte crida;23;3.4;19;3.6;18;5.8;16;6.4;20;8.3
883;1;Ciutat Vella;1;el Raval;Plaa Salvador Segu;1;41.37878;2.170497;Mal s de contenidors i/o papereres;23;5.3;19;5.5;18;3.6;16;4.1;20;7.6
884;1;Ciutat Vella;1;el Raval;Carrer Aurora ;11;41.378757;2.168208;Efecte crida;23;7.3;18;11.1;18;15.1;16;18.5;19;16.1
885;1;Ciutat Vella;1;el Raval;Carrer Aurora ;25;41.377934;2.167251;Efecte crida;23;10.8;18;7.5;18;16.1;16;15.7;19;18.9
886;1;Ciutat Vella;1;el Raval;Carrer Sant Rafael ;42;41.378326;2.1683;Mal s de contenidors i/o papereres;23;13.3;17;14.8;18;17.1;16;17.1;19;17.8
887;1;Ciutat Vella;1;el Raval;Carrer Bertomeu ;8;41.377926;2.168872;Mal s de contenidors i/o papereres;23;8.7;17;9.5;18;10.4;16;9;20;9.3
888;1;Ciutat Vella;1;el Raval;Carrer Riereta ;31;41.377712;2.169048;Poca afluncia de gent;23;2;17;2.3;18;2.1;16;1.1;19;0.6
889;1;Ciutat Vella;1;el Raval;Carrer Vistalegre;21;41.378281;2.166277;Mal s de la recollida pneumtica;23;13.7;18;12.6;18;16.3;16;15.1;20;20.6
890;1;Ciutat Vella;1;el Raval;Carrer Reina Amlia;2;41.378021;2.165321;Mala praxis comercial;23;5.8;19;6.7;17;12;16;11.4;20;7.9
891;1;Ciutat Vella;1;el Raval;Carrer Reina Amlia;11;41.37775;2.165885;Mal s de contenidors i/o papereres;23;8.2;19;9.2;17;15.4;16;11.5;20;9.5
892;1;Ciutat Vella;1;el Raval;Ronda Sant Pau;30;41.376316;2.166279;Mal s de contenidors i/o papereres;23;3.8;19;4.6;17;8.2;16;8.8;20;7.3
893;1;Ciutat Vella;1;el Raval;Plaa Josep Maria Folch i Torres;1;41.376438;2.167012;Mal s de la recollida pneumtica;6;1.6;12;1.8;17;1.8;16;2.6;20;1.5
894;1;Ciutat Vella;1;el Raval;Carrer Lleialitat;3;41.377327;2.167082;Mal s de la recollida pneumtica;23;3.8;19;5.1;17;12.6;16;14.9;20;10.8
895;1;Ciutat Vella;1;el Raval;Carrer Hort de la Bomba ;2;41.376831;2.168197;Mal s de la recollida pneumtica;23;4.8;19;3.6;18;10.1;16;11.6;20;8.3
