N_EXPEDIENT,DISTRICTE,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,LONGITUD, LATITUD
01-2013-0753,CIUTAT VELLA,el Raval,C,HOSPITAL,1,25,,,,,,,1,2,2.17222728,41.38088335
02-2014-0566,L'EIXAMPLE,la Sagrada Família,AV,GAUDI,1,51,,53,,,,,EN,1,2.17421561,41.40844312
02-2014-0207,L'EIXAMPLE,la Dreta de l'Eixample,PL,TETUAN,1,33,,,,,,,SA,2,2.17606064,41.39563640
01-2014-0073,CIUTAT VELLA,el Raval,C,JUNTA DE COMERÇ,1,23,,,,,,,2,1A,2.17188996,41.37944639
02-2014-1125,L'EIXAMPLE,la Dreta de l'Eixample,G.V.,CORTS CATALANES,2,682,,,,,,,2,1,2.17305664,41.39268474
02-2014-0241,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,ENRIC GRANADOS,1,125,,,,,,,2,1,2.15458142,41.39355709
02-2014-0227,L'EIXAMPLE,Sant Antoni,C,CALABRIA,1,5,,,,,,,1,,2.16046101,41.37544945
02-2014-0228,L'EIXAMPLE,Sant Antoni,C,CALABRIA,1,5,,,,,,,AT,,2.16046101,41.37544945
04-2013-0191,LES CORTS,les Corts,AV,JOSEP TARRADELLAS,1,147,,,,,,,6,2,2.14348988,41.39109449
02-2013-0972,L'EIXAMPLE,Sant Antoni,C,COMTE BORRELL,1,37,,,,,,,EN,4,2.16336961,41.37666084
02-2013-0975,L'EIXAMPLE,la Dreta de l'Eixample,PG,GRACIA,1,3,,,,,,,5,2,2.16927063,41.38821806
06-2013-0312,GRACIA,la Vila de Gràcia,C,MASSENS,1,23,,,,,,,BJ,,2.15742915,41.40739517
06-2013-0313,GRACIA,la Vila de Gràcia,C,MASSENS,1,23,,,,,,,1,1,2.15742915,41.40739517
06-2013-0315,GRACIA,la Vila de Gràcia,C,MASSENS,1,23,,,,,,,2,1,2.15742915,41.40739517
06-2013-0316,GRACIA,la Vila de Gràcia,C,MASSENS,1,23,,,,,,,2,2,2.15742915,41.40739517
02-2013-0998,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,CALABRIA,2,120,,,,,,,4,2,2.15371713,41.38082045
06-2013-0314,GRACIA,la Vila de Gràcia,C,MASSENS,1,23,,,,,,,1,2,2.15742915,41.40739517
02-2013-1034,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,CALABRIA,2,104,,,,,,,1,2E,2.15474711,41.38004653
02-2013-1086,L'EIXAMPLE,Sant Antoni,C,MUNTANER,1,7,,,,,,,3,1,2.16291014,41.38384194
02-2013-1087,L'EIXAMPLE,Sant Antoni,C,MUNTANER,1,7,,,,,,,3,2A,2.16291014,41.38384194
03-2013-0335,SANTS-MONTJUÏC,el Poble Sec,C,CREU DELS MOLERS,2,76,,,,,,,3,,2.16087197,41.37172240
