REGISTRO,ANO,TIPO,NUMERO,ACTIVIDAD,HORA_INI,HORA_FIN,CCODVIA,NOMBRE,C_NUMERO,C_BIS,CON_USU_DE_ROTACION,EXENTO,PLAZAS,ANCHO_PUERTA,SUPERFICIE,ZONA_OCUPA_MAXIMA,POLIGONO_INDUSTRIAL,IMPORTE,LAT123,LONG122
25,2012,P,4484,APARCAMIENTO DE VEHICULOS,0,2400,9,JOSE JORNET NAVARRO,0,,N,N,83,3.30,1000.00,4.70,N,202.85,38.35522,-0.50670
25,2012,P,4483,APARCAMIENTO DE VEHICULOS,0,2400,9,JOSE JORNET NAVARRO,0,,N,N,83,5.00,1000.00,7.00,N,329.06,38.35522,-0.50670
486,1996,P,1261,APARCAMIENTO DE VEHICULOS,,,10,AAIUN,0,A,N,N,22,4.04,524.25,5.00,N,243.41,38.36202,-0.48440
486,1996,P,1262,APARCAMIENTO DE VEHICULOS,,,10,AAIUN,0,A,N,N,12,4.04,524.25,5.00,N,243.41,38.36202,-0.48440
580,1997,P,1740,APARCAMIENTO DE VEHICULOS,,1740,10,AAIUN,0,B,N,N,16,10.50,294.00,10.50,N,543.06,38.36202,-0.48440
580,1997,P,133,APARCAMIENTO DE VEHICULOS,,1740,10,AAIUN,0,B,N,N,0,10.50,294.00,,N,243.41,38.36202,-0.48440
776,1997,P,1113,APARCAMIENTO DE VEHICULOS,,2400,10,AAIUN,0,C,N,N,14,6.30,0.00,6.30,N,394.86,38.36202,-0.48440
579,1997,P,1112,APARCAMIENTO DE VEHICULOS,,2400,10,AAIUN,0,F,N,N,15,10.50,294.00,10.50,N,543.06,38.36202,-0.48440
259,2016,T,1418,ACTIVIDAD COMERCIAL,800,2000,10,AAIUN,5,BJ-IZQ,N,N,3,3.00,75.00,3.00,N,78.55,38.36202,-0.48440
22217,1999,T,270,TALLER MECANICO,800,2000,10,AAIUN,5,LOCAL,N,N,3,4.17,68.00,4.17,N,91.95,38.36202,-0.48440
152,2016,P,5561,APARCAMIENTO DE VEHICULOS,0,2400,10,AAIUN,5,,N,N,2,3.00,78.00,3.00,N,100.25,38.36202,-0.48440
46619,1999,P,2210,APARCAMIENTO DE VEHICULOS,,2400,10,AAIUN,6,,N,N,29,2.29,0.00,5.00,N,243.41,38.36202,-0.48440
667,1996,T,112,ALMACEN DE MATERIALES,800,2000,10,AAIUN,13,DCHA,N,N,2,2.27,65.00,2.27,N,78.55,38.36187,-0.48513
219,2004,P,3626,APARCAMIENTO DE VEHICULOS,0,2400,10,AAIUN,15,,N,N,2,2.98,81.00,5.00,N,121.70,38.36192,-0.48548
1453,1997,P,1894,TALLER MECANICO,,,10,AAIUN,17,DCHA.,N,N,15,2.92,408.10,5.00,N,243.41,38.36187,-0.48586
1453,1997,P,1895,TALLER MECANICO,,,10,AAIUN,17,DCHA.,N,N,15,2.92,408.10,5.00,N,243.41,38.36187,-0.48586
471,1998,P,2011,APARCAMIENTO DE VEHICULOS,,,10,AAIUN,21,,N,N,88,5.60,1976.41,6.50,N,394.86,38.36183,-0.48617
853,1997,P,578,APARCAMIENTO DE VEHICULOS,,,20,AB-EL-HAMET,0,A,N,N,7,2.20,120.00,5.00,N,283.98,38.33994,-0.48938
77,2010,P,4280,APARCAMIENTO DE VEHICULOS,0,2400,20,AB-EL-HAMET,1,DCHA,N,N,3,3.65,103.10,5.00,N,141.99,38.33997,-0.48903
671,1902,P,1576,LAVADERO DE COCHES,,,20,AB-EL-HAMET,3,BJ-IZ,N,N,12,5.50,250.00,5.50,N,347.09,38.33986,-0.48926
671,1996,P,113,GARAJE Y ENGRASE,,,20,AB-EL-HAMET,3,,N,N,0,0.00,0.00,,N,243.41,38.33986,-0.48926
